"Title","Director","US_Gross","Critics","Audiences","Director_Gender","First_Gender"
"Temptress Moon","Chen Kaige",1100000,62,73,"male","male"
"Tequila Sunrise","Robert Towne",39700000,53,40,"male","male"
"Terminator 2: Judgment Day","James Cameron",552800,91,95,"male","male"
"Terri","Azazel Jacobs",653600,87,61,"male","male"
"Tesla","Michael Almereyda",93000,58,43,"male","male"
"Testament of Youth","James Kent",1800000,84,78,"male","female"
"Testosterone","David Moreton",772200,6,34,"male","male"
"Tetro","Francis Ford Coppola",438400,71,69,"male","male"
"Texas Killing Fields","Ami Canaan Mann",45300,39,27,"female","female"
"Thanks for Sharing","Stuart Blumberg",1100000,51,42,"male","male"
"That Awkward Moment","Tom Gormican",2.6e+07,23,46,"male","male"
"That Old Feeling","Carl Reiner",16300000,43,59,"male","female"
"That's Life!","Blake Edwards",3600000,53,52,"male","male"
"That's My Boy","Sean Anders",36900000,20,51,"male","male"
"The 40 Year-Old Virgin","Judd Apatow",109200000,85,84,"male","male"
"The Accountant","Gavin O'Connor",86200000,53,76,"male","male"
"The Adderall Diaries","Pamela Romanowsky",11300,25,26,"female","male"
"The Air I Breathe","Jieho Lee",19500,10,61,NA,"male"
"The Amazing Spider-Man 2","Marc Webb",202800000,51,64,"male","male"
"The Amazing Spider-Man","Marc Webb",2.62e+08,71,77,"male","male"
"The Angry Black Girl and Her Monster","Bomani J. Story",118700,85,87,"male","female"
"The Annihilation of Fish","Charles Burnett",2200,67,80,"male","female"
"The Art of Getting By","Gavin Wiesen",1400000,20,46,"male","male"
"The Artist","Michel Hazanavicius",44700000,95,87,"male","male"
"The Aspern Papers","Julien Landais",9300,19,39,"male","male"
"The Assistant","Kitty Green",1100000,93,25,"female","female"
"The Astronaut farmer","Michael Polish",1.1e+07,58,49,"male","male"
"The Bad Batch","Ana Lily Amirpour",180900,45,30,"female","female"
"The Bad Guys","Pierre Perifel",97200000,88,93,"male","male"
"The Beach Bum","Harmony Korine",3500000,57,42,"female","male"
"The Beaver","Jodie Foster",958300,63,55,"female","male"
"The Beguiled","Sofia Coppola",10500000,78,48,"female","male"
"The Best Man","Malcolm D. Lee",34100000,72,86,"male","male"
"The Best Offer","Giuseppe Tornatore",82000,58,77,"male","male"
"The Best Two Years","Scott S. Anderson",1200000,73,92,"male","male"
"The BFG","Steven Spielberg",55500000,74,57,"male","female"
"The Big Short","Adam McKay",70200000,89,88,"male","male"
"The Big Sick","Michael Showalter",42900000,98,88,"male","male"
"The Big Squeeze","Marcus DeLeon",23600,43,60,"male","female"
"The Birth of a Nation","Nate Parker",15800000,72,71,"male","male"
"The Black Phone","Scott Derrickson",89900000,82,88,"male","male"
"The Bling Ring","Sofia Coppola",5800000,60,33,"female","male"
"The Bodyguard","Mick Jackson",61000,38,64,"male","female"
"The Boogeyman","Rob Savage",43200000,60,66,"male","female"
"The Book of Henry","Colin Trevorrow",4200000,22,63,"male","female"
"The Book Thief","Brian Percival",21400000,49,73,"male","female"
"The Bookshop","Isabel Coixet",1500000,58,51,"female","female"
"The Boss","Ben Falcone",6.3e+07,22,38,"male","female"
"The Boss Baby: Family Business","Tom McGrath",57300000,46,89,"male","male"
"The Boss Baby","Tom McGrath",174900000,53,51,"male","male"
"The Bounce Back","Youssef Delara",227400,67,74,"male","male"
"The Bourne Legacy","Tony Gilroy",113200000,56,58,"male","male"
"The Boxer","Jim Sheridan",5800000,81,74,"male","male"
"The Boy and the Heron","Hayao Miyazaki",44200000,97,88,NA,"male"
"The Boy Downstairs","Sophie Brooks",7200,64,46,"female","female"
"The Boy","William Brent Bell",35800000,31,38,"male","female"
"The Brady Bunch Movie","Betty Thomas",45600000,64,47,"female","male"
"The Broken Hearts Gallery","Natalie Krinsky",4100000,80,88,"female","female"
"The Brothers Grimsby","Louis Leterrier",6900000,36,41,"male","male"
"The Campaign","Jay Roach",86900000,66,51,"male","male"
"The Case for Christ","Jon Gunn",14700000,61,79,"male","male"
"The Castle","Rob Sitch",861800,87,92,"male","male"
"The Chambermaid on the Titanic","Bigas Luna",330600,81,55,NA,"male"
"The Children Act","Richard Eyre",432500,74,63,"male","female"
"The Choice","Ross Katz",18700000,11,61,"male","male"
"The Circle","James Ponsoldt",20500000,16,21,"male","female"
"The Class","Laurent Cantet",3800000,95,82,"male","male"
"The Clearing","Pieter Jan Brugge",5800000,43,32,"male","male"
"The Cold Light of Day","Mabrouk El Mechri",3700000,4,29,NA,"male"
"The Collection","Marcus Dunstan",6800000,37,49,"male","female"
"The Comedian","Taylor Hackford",1700000,24,28,"female","male"
"The Commuter","Jaume Collet-Serra",36300000,55,40,NA,"male"
"The Conjuring 2","James Wan",102500000,80,81,"male","female"
"The Connection","Cédric Jimenez",121500,77,71,NA,"male"
"The Conspirator","Robert Redford",11500000,56,62,"male","female"
"The Counselor","Ridley Scott",16900000,34,24,"male","male"
"The Counterfeiters","Stefan Ruzowitzky",5500000,93,88,"male","male"
"The Courier","Dominic Cooke",6600000,85,95,"male","male"
"The Creator","Gareth Edwards",40800000,67,76,"male","male"
"The Curse of La Llorona","Michael Chaves",54700000,28,35,"male","female"
"The Cursed","Sean Ellis",4500000,71,54,"male","male"
"The Danish Girl","Tom Hooper",11100000,66,72,"male","male"
"The Dark Knight Rises","Christopher Nolan",2,87,90,"male","male"
"The Darkness","Greg McLean",10700000,3,19,"male","male"
"The Dead","John Huston",766400,94,77,"male","male"
"The Descendants","Alexander Payne",82600000,87,79,"male","male"
"The Devil Inside","William Brent Bell",53200000,6,22,"male","female"
"The Devil Wears Prada","David Frankel",124700000,75,76,"male","female"
"The Devil's Violinist","Bernard Rose",8000,31,44,"male","male"
"The Diary of a Teenage Girl","Marielle Heller",1500000,95,73,"female","female"
"The Dictator","Larry Charles",59600000,56,44,"male","male"
"The Dilemma","Ron Howard",48400000,24,29,"male","male"
"The Disappearance of Eleanor Rigby","Ned Benson",511700,65,51,"male","female"
"The Disappointments Room","D.J. Caruso",2400000,0,17,NA,"female"
"The Diving Bell and the Butterfly","Julian Schnabel",6e+06,94,92,"male","male"
"The Double","Richard Ayoade",200300,83,59,"male","male"
"The Dreamlife of Angels","Erick Zonca",1700000,93,84,"male","male"
"The Dressmaker","Jocelyn Moorhouse",2e+06,59,66,"female","female"
"The Drop","Michaël R. Roskam",10700000,89,76,NA,"male"
"The DUFF","Ari Sandel",3.4e+07,73,66,"male","female"
"The Edge of Seventeen","Kelly Fremon Craig",14400000,94,83,"female","female"
"The Edukators","Hans Weingartner",175500,70,89,"male","female"
"The Emoji Movie","Anthony Leondis",86100000,6,36,"male","male"
"The Emperor and the Assassin","Chen Kaige",1300000,81,78,"male","male"
"The Empty Mirror","Barry J. Hershey",10800,71,80,"male","male"
"The English Teacher","Craig Zisk",60200,43,31,"male","male"
"The Escape","Dominic Savage",8900,76,49,"male","female"
"The Event","Thom Fitzgerald",35500,44,52,"male","female"
"The Ex","Jesse Peretz",3100000,19,32,"male","male"
"The Expendables 2","Simon West",8.5e+07,67,67,"male","male"
"The Expendables","Sylvester Stallone",1.03e+08,42,64,"male","male"
"The Extraordinary Journey of the Fakir","Ken Scott",56700,59,83,"male","male"
"The Eyes of My Mother","Nicolas Pesce",26100,78,57,"male","female"
"The Eyes of Tammy Faye","Michael Showalter",2400000,68,86,"male","female"
"The Fall Guy","David Leitch",9e+07,81,86,"male","male"
"The Family","Luc Besson",114500,27,41,"male","male"
"The Family Fang","Jason Bateman",240100,83,48,"male","female"
"The Farewell","Lulu Wang",17700000,97,87,"female","female"
"The Father","Florian Zeller",2100000,98,92,"male","male"
"The Fault in Our Stars","Josh Boone",124900000,81,85,"male","female"
"The Favourite","Yorgos Lanthimos",34200000,93,70,NA,"female"
"The 5th Wave","J Blakeson",34900000,17,38,NA,"female"
"The Fighter","David O. Russell",93600000,91,89,"male","male"
"The Final Cut","Omar Naim",548000,37,45,"male","male"
"The Fits","Anna Rose Holmer",166400,96,54,"female","female"
"The Five-Year Engagement","Nicholas Stoller",28600000,64,51,"male","male"
"The Flash","Andy Muschietti",108100000,63,83,"male","male"
"The Flintstones","Brian Levant",130500000,23,25,"male","male"
"The Flower of My Secret","Pedro Almodóvar",938700,86,76,"male","female"
"The Forest","Jason Zada",26600000,10,22,"male","female"
"The Forever Purge","Everardo Gout",44500000,49,78,"male","female"
"The Forgiveness of Blood","Joshua Marston",119700,84,72,"male","male"
"The Frighteners","Peter Jackson",16500000,67,71,"male","male"
"The Front Runner","Jason Reitman",2e+06,59,40,"male","male"
"The Gambler","Rupert Wyatt",33700000,43,31,"male","male"
"The Game Plan","Andy Fickman",90600000,30,69,"male","male"
"Hemingway's Garden of Eden","John Irvin",22100,4,19,"male","female"
"The Gentlemen","Guy Ritchie",36500000,75,84,"male","male"
"The Giant Mechanical Man","Lee Kirk",5400,70,65,"male","female"
"The Girl Who Believes in Miracles","Richard Correll",3100000,40,93,"male","female"
"The Girl With the Dragon Tattoo","Niels Arden Oplev",10100000,85,87,"male","male"
"The Girl With the Dragon Tattoo","David Fincher",102500000,86,86,"male","male"
"The Glass Castle","Destin Daniel Cretton",17200000,52,70,"male","male"
"The Goldfinch","John Crowley",5300000,25,72,"male","male"
"The Good Dinosaur","Peter Sohn",123100000,75,64,"male","male"
"The Good Lie","Philippe Falardeau",2700000,84,82,"male","male"
"The Good Mother","Miles Joris-Peyrafitte",367000,22,35,"male","female"
"The Grand Budapest Hotel","Wes Anderson",59100000,92,87,"male","female"
"The Great Gatsby","Baz Luhrmann",144800000,48,67,NA,"male"
"The Great Wall","Yimou Zhang",45100000,35,42,NA,"male"
"The Ground Beneath My Feet","Marie Kreutzer",29200,90,75,"female","female"
"The Grudge","Nicolas Pesce",21200000,20,23,"male","female"
"The Grudge","Takashi Shimizu",110200000,41,46,"male","male"
"The Guilt Trip","Anne Fletcher",37100000,37,39,"female","male"
"The Guilty","Gustav Möller",206200,98,87,"male","female"
"The Gunman","Pierre Morel",10600000,15,31,"male","male"
"The Hand That Rocks the Cradle","Curtis Hanson",87500000,66,61,"male","female"
"The Handmaiden","Park Chan-wook",2e+06,96,91,"male","female"
"The Hangover Part II","Todd Phillips",254500000,34,52,"male","male"
"The Hangover Part III","Todd Phillips",112200000,20,44,"male","male"
"The Happy Prince","Rupert Everett",464500,72,51,"male","male"
"The Haunting","Jan de Bont",91200000,17,28,"female","male"
"The Heart of Me","Thaddeus O'Sullivan",196100,50,61,"male","female"
"The Heat","Paul Feig",159600000,66,71,"male","female"
"The Help","Tate Taylor",169700000,76,89,"male","female"
"The Hero","Brett Haley",4100000,77,59,"male","male"
"The Hill","Jeff Celentano",5400000,44,97,"male","male"
"The Hitman's Bodyguard","Patrick Hughes",75400000,44,67,"male","male"
"The Hitman's Wife's Bodyguard","Patrick Hughes",3.8e+07,26,79,"male","male"
"The Hobbit: An Unexpected Journey","Peter Jackson",3.03e+08,64,83,"male","male"
"The Hobbit: The Desolation of Smaug","Peter Jackson",258400000,75,85,"male","male"
"The Holdovers","Alexander Payne",20300000,97,92,"male","male"
"The Hollars","John Krasinski",1e+06,46,59,"male","male"
"The Holy Girl","Lucrecia Martel",303900,78,58,"female","female"
"The House","Andrew Jay Cohen",25600000,20,35,"male","male"
"The House of the Devil","Ti West",100700,85,63,"male","female"
"The Hundred-Foot Journey","Lasse Hallström",54200000,69,81,"male","male"
"The Hunger Games: Mockingjay, Part 2","Francis Lawrence",281700000,69,66,"male","female"
"The Hunger Games: The Ballad of Songbirds & Snakes","Francis Lawrence",166300000,64,89,"male","male"
"The Hunger Games","Gary Ross",4.08e+08,84,81,"male","female"
"The Hunt","Thomas Vinterberg",611000,92,93,"male","male"
"The Hunted","J.F. Lawton",6400000,8,54,NA,"male"
"The Huntsman: Winter's War","Cedric Nicolas-Troyan",4.8e+07,20,45,"male","female"
"The Hustle","Chris Addison",35400000,14,44,"male","female"
"The Iceman","Ariel Vromen",1900000,67,62,"female","male"
"The Identical","Dustin Marcellino",2800000,6,62,"male","male"
"The Ides of March","George Clooney",4.1e+07,83,73,"male","male"
"The Imaginarium of Doctor Parnassus","Terry Gilliam",7700000,64,60,"male","male"
"The Immigrant","James Gray",2e+06,85,60,"male","female"
"The Impossible","J. A. Bayona",1.9e+07,82,84,NA,"female"
"The Incredible Burt Wonderstone","Don Scardino",22500000,37,33,"male","male"
"The Incredible Hulk","Louis Leterrier",134500000,67,69,"male","male"
"The Incredibles","Brad Bird",261400000,97,75,"male","male"
"The Incredibly True Adventure of Two Girls in Love","Maria Maggenti",2e+06,79,69,"female","female"
"The Independent","Stephen Kessler",238400,60,49,"male","male"
"The Indian Runner","Sean Penn",152900,74,80,"male","male"
"The Infiltrator","Brad Furman",15400000,71,71,"male","male"
"The Inspection","Elegance Bratton",261000,88,91,NA,"male"
"The Intended","Kristian Levring",7500,35,40,"male","male"
"The Intern","Nancy Meyers",75600000,59,73,"female","male"
"The Intruder","Deon Taylor",35400000,34,67,"male","male"
"The Invisible Man","Leigh Whannell",64300000,92,88,"female","male"
"The Invitation","Jessica M. Thompson",2.5e+07,31,59,"female","female"
"The Iron Lady","Phyllida Lloyd",3e+07,52,51,NA,"female"
"The Jimmy Show","Frank Whaley",703,40,38,"male","male"
"The Judge","David Dobkin",2700000,49,72,"male","male"
"The Jungle Book","Jon Favreau",3.64e+08,94,86,"male","male"
"The Kid Detective","Evan Morgan",363200,84,77,"male","male"
"The Kid Who Would Be King","Joe Cornish",16800000,90,55,"male","male"
"The Killing of a Sacred Deer","Yorgos Lanthimos",2300000,79,63,NA,"male"
"The Killing of Two Lovers","Robert Machoian",71200,93,68,"male","male"
"The King's Speech","Tom Hooper",138800000,94,92,"male","male"
"The Last Big Thing","Dan Zukovic",18200,67,60,"male","male"
"The Last Black Man in San Francisco","Joe Talbot",4500000,93,84,"male","male"
"The Last Duel","Ridley Scott",10800000,85,81,"male","male"
"The Last Exorcism Part II","Ed Gass-Donnelly",15200000,15,26,"male","female"
"The Last King of Scotland","Kevin Macdonald",17600000,87,89,"male","male"
"The Last Kiss","Gabriele Muccino",1e+06,73,79,"female","male"
"The Last Seduction","John Dahl",1800000,94,76,"male","female"
"The Last Shot","Jeff Nathanson",463700,62,32,"male","male"
"The Last Witch Hunter","Breck Eisner",27400000,18,44,"male","female"
"The Last Word","Mark Pellington",1800000,40,64,"male","female"
"The Lazarus Effect","David Gelb",25800000,15,23,"male","male"
"The Ledge","Matthew Chapman",5200,14,48,"male","male"
"The Legend of Hercules","Renny Harlin",18800000,5,33,"male","male"
"The Legend of Tarzan","David Yates",126600000,35,58,"male","male"
"The LEGO Batman Movie","Chris McKay",175700000,90,80,"male","male"
"The Leisure Seeker","Paolo Virzì",3200000,38,57,"male","male"
"The Letters","William Riead",1600000,29,66,"male","female"
"The Liberator","Alberto Arvelo Mendoza",113100,38,65,"male","male"
"The Light Between Oceans","Derek Cianfrance",12500000,62,61,"male","male"
"The Little Mermaid","Rob Marshall",298200000,67,94,"male","female"
"The Little Rascals","Penelope Spheeris",51700000,21,70,"female","male"
"The Little Stranger","Lenny Abrahamson",675400,65,34,"male","male"
"The Little Things","John Lee Hancock",14700000,45,67,"male","male"
"The Lives of Others","Florian Henckel von Donnersmarck",11300000,92,96,"male","male"
"The Loft","Erik Van Looy",6e+06,14,37,"male","female"
"The Lonely Passion of Judith Hearne","Jack Clayton",82700,100,77,"male","female"
"The Longest Ride","George Tillman Jr.",37400000,31,71,"male","female"
"Dr. Seuss' the Lorax","Chris Renaud",213900000,54,63,"male","male"
"The Lord of the Rings: The Fellowship of the Ring","Peter Jackson",315500000,92,95,"male","male"
"The Lovers","Azazel Jacobs",2200000,82,42,"male","male"
"The Lucky One","Scott Hicks",60400000,20,67,"male","male"
"The Lunchbox","Ritesh Batra",4200000,97,87,"male","female"
"The Machine","Peter Atencio",10100000,32,87,"male","male"
"The Magic of Belle Isle","Rob Reiner",100900,30,63,"male","male"
"The Man on the Train","Patrice Leconte",2500000,92,79,"female","male"
"Twice Upon a Yesterday","Maria Ripoll",258500,29,53,"female","male"
"The Man With the Iron Fists","RZA",15600000,51,40,NA,"male"
"The Man","Les Mayfield",8300000,12,41,"male","male"
"The Many Saints of Newark","Alan Taylor",8200000,71,59,"male","male"
"The Marvels","Nia DaCosta",84500000,62,82,"female","female"
"The Master","Paul Thomas Anderson",16200000,85,62,"male","male"
"The Mauritanian","Kevin Macdonald",832400,75,84,"male","female"
"The Measure of a Man","Stéphane Brizé",112100,92,60,NA,"male"
"The Monk and the Gun","Pawo Choyning Dorji",164500,92,100,NA,"male"
"The Monster","Bryan Bertino",12100,79,40,"male","female"
"The Motorcycle Diaries","Walter Salles",16800000,83,92,"male","male"
"The Mule","Clint Eastwood",103800000,70,66,"male","male"
"The Muppets","James Bobin",88600000,95,80,"male","male"
"The Music Never Stopped","Jim Kohlberg",258100,67,81,"male","male"
"Naked Gun 33 1/3: The Final Insult","Peter Segal",48100000,58,53,"male","male"
"The Naked Gun","David Zucker",77900000,86,84,"male","male"
"The Negotiation","Lee Jong-suk",109900,60,76,"male","female"
"The Neon Demon","Nicolas Winding Refn",1300000,59,51,"male","female"
"The Nest","Sean Durkin",137400,90,40,"male","male"
"The New Girlfriend","François Ozon",130300,80,62,NA,"male"
"The Night House","David Bruckner",7100000,88,69,"male","female"
"The Number 23","Joel Schumacher",35100000,7,56,"male","male"
"The Nun","Corin Hardy",117400000,25,35,"female","female"
"The Nun II","Michael Chaves",86300000,52,73,"male","female"
"The Nut Job 2: Nutty by Nature","Cal Brunker",28300000,15,44,"male","male"
"The Nut Job","Peter Lepeniotis",64200000,13,43,"male","male"
"The Nutcracker","Andrey Konchalovskiy",190600,0,27,"male","female"
"The Nutty Professor","Tom Shadyac",128800000,64,44,"male","male"
"The Old Man & the Gun","David Lowery",11100000,93,66,"male","male"
"The Only Living Boy in New York","Marc Webb",623000,33,59,"male","male"
"The Oranges","Julian Farino",319400,31,32,"male","male"
"The Order","Brian Helgeland",7700000,10,38,"male","male"
"The Origin of Evil","Sébastien Marnier",83800,92,81,NA,"female"
"The Orphanage","J. A. Bayona",7200000,87,86,NA,"female"
"The Other Side of Heaven","Mitch Davis",4700000,30,74,"male","male"
"The Other Side of the Bed","Emilio Martínez-Lázaro",113100,49,65,"male","female"
"The Other Side of the Door","Johannes Roberts",3e+06,36,30,"male","female"
"The Other Story","Avi Nesher",135000,71,85,"male","female"
"Love and Other Impossible Pursuits","Don Roos",20600,38,45,"male","female"
"The Other Woman","Nick Cassavetes",83900000,26,57,"male","female"
"The Other Zoey","Sara Zandieh",168100,80,80,"female","female"
"The Paper Tigers","Quoc Bao Tran",112700,98,93,"male","male"
"The Paperboy","Lee Daniels",628200,45,33,"male","male"
"The Patience Stone","Atiq Rahimi",148400,84,75,NA,"female"
"The Peanuts Movie","Steve Martino",130100000,87,76,"male","male"
"The Perfect Match","Bille Woodruff",9700000,22,44,"female","male"
"The Persian Version","Maryam Keshavarz",559400,84,93,"female","female"
"The Photograph","Stella Meghie",20600000,75,81,"female","female"
"The Pirates! Band of Misfits","Peter Lord",375900,86,60,"male","male"
"The Possession of Hannah Grace","Diederik Van Rooijen",14800000,21,28,NA,"female"
"The Pretty One","Jenée LaMarque",11200,50,46,NA,"female"
"The Prince & Me","Martha Coolidge",28200000,29,59,"female","male"
"The Prodigy","Nicholas McCarthy",14900000,43,37,"male","male"
"The Promised Land","Nikolaj Arcel",256300,97,94,"male","male"
"The Puffy Chair","Jay Duplass",192500,77,62,"male","male"
"The Purge: Anarchy","James DeMonaco",71500000,58,56,"male","male"
"The Purge: Election Year","James DeMonaco",7.9e+07,55,48,"male","female"
"The Quiet Girl","Colm Bairéad",1500000,97,93,"male","female"
"The Raid 2","Gareth Evans",2600000,82,87,"male","male"
"The Raid: Redemption","Gareth Evans",2600000,87,87,"male","male"
"The Railway Man","Jonathan Teplitzky",4400000,68,68,"male","male"
"The Reception","John G. Young",509,68,30,"male","female"
"The Red Violin","François Girard",9500000,74,91,NA,"male"
"The Reluctant Fundamentalist","Mira Nair",519500,57,61,"female","male"
"The Resurrection of Gavin Stone","Dallas Jenkins",2300000,54,84,"male","male"
"The Retirement Plan","Tim Brown",1400000,60,41,"male","female"
"The Return","Andrey Zvyagintsev",502000,96,93,"male","male"
"The Right Kind of Wrong","Jeremiah S. Chechik",2000,16,37,"male","female"
"The Rite","Mikael Håfström",3.3e+07,22,40,"male","male"
"The Road","John Hillcoat",8100000,74,68,"male","male"
"The Roads Not Taken","Sally Potter",3300,43,28,"female","male"
"The Roommate","Christian E. Christiansen",37300000,3,27,"male","female"
"The Rover","David Michôd",1100000,67,51,"male","male"
"The Rundown","Peter Berg",47600000,70,66,"male","male"
"The Samaritan","David Weaver",1700,26,40,"male","male"
"The Sasquatch Gang","Tim Skousen",9500,46,57,"male","male"
"The School of Flesh","Benoît Jacquot",401800,68,59,NA,"female"
"The Sea of Trees","Gus Van Sant",14000,17,44,"male","male"
"The Seagull","Michael Mayer",1200000,67,44,"male","female"
"The Second Best Exotic Marigold Hotel","John Madden",3.3e+07,66,59,"male","male"
"The Secret Life of Pets","Chris Renaud",368300000,70,62,"male","male"
"The Secret Life of Walter Mitty","Ben Stiller",58200000,52,71,"male","male"
"The Sense of an Ending","Ritesh Batra",1200000,75,52,"male","male"
"The Sessions","Ben Lewin",6e+06,91,80,"male","male"
"The Shift","Brock Heasley",11700000,37,87,"male","male"
"The Sitter","David Gordon Green",30500000,21,39,"male","male"
"The Skeleton Twins","Craig Johnson",5300000,86,69,"male","male"
"The Skin I Live In","Pedro Almodóvar",3200000,81,84,"male","male"
"The Smurfs 2","Raja Gosnell",7.1e+07,14,56,"male","male"
"The Smurfs","Raja Gosnell",142600000,21,43,"male","male"
"The Snowman","Tomas Alfredson",6700000,7,19,"male","male"
"The Snowtown Murders","Justin Kurzel",8000,85,66,"male","male"
"The Son of Joseph","Eugène Green",28800,93,60,NA,"male"
"The Son of No One","Dito Montiel",28900,16,22,NA,"male"
"The Son","Florian Zeller",449600,29,59,"male","male"
"The Song","Richard Ramsey",1e+06,31,82,"male","male"
"The Sound of Violet","Allen Wolf",32100,33,83,"male","male"
"The Souvenir Part II","Joanna Hogg",26000,90,86,"female","female"
"The Souvenir","Joanna Hogg",1e+06,90,36,"female","female"
"The Spectacular Now","James Ponsoldt",6900000,91,76,"male","female"
"The Spy Who Dumped Me","Susanna Fogel",33500000,49,58,"female","male"
"The Square","Ruben Östlund",1100000,85,71,"male","male"
"The Square","Nash Edgerton",404900,86,70,"male","male"
"The Star","Timothy Reckart",40400000,44,70,"male","male"
"The Story of Qiu Ju","Yimou Zhang",25800,87,85,NA,"male"
"The Strangers: Prey at Night","Johannes Roberts",24400000,40,35,"male","male"
"The Strangers","Bryan Bertino",52500000,49,48,"male","male"
"The Stray","Mitch Davis",1600000,40,69,"male","male"
"The Suicide Theory","Dru Brown",5200,79,69,"male","male"
"The Sun Is Also a Star","Ry Russo-Young",4900000,52,60,"male","female"
"The Tale of the Princess Kaguya","Isao Takahata",681100,100,90,"male","female"
"The Teachers' Lounge","Ilker Çatak",627900,96,65,NA,"female"
"The Tenants","Danny Green",2000,32,30,"male","male"
"The Theory of Everything","James Marsh",35900000,80,84,"male","male"
"The Thing","Matthijs van Heijningen Jr.",16900000,34,42,NA,"female"
"The Third Wife","Ash Mayfair",81000,88,66,"male","female"
"The Tomorrow Man","Noble Jones",331800,42,44,"male","male"
"The Town","Ben Affleck",92200000,92,85,"male","male"
"The Transporter Refueled","Camille Delamarre",1.6e+07,15,30,"female","male"
"The Tree of Life","Terrence Malick",13300000,85,60,"male","male"
"The Trouble With Bliss","Michael Knowles",10900,33,28,"male","male"
"The Turning","Floria Sigismondi",15500000,12,15,"female","female"
"The Two Jakes","Jack Nicholson",9400000,63,39,"male","male"
"The Unbearable Weight of Massive Talent","Tom Gormican",20200000,87,87,"male","male"
"The Unholy","Evan Spiliotopoulos",15500000,27,56,"male","female"
"The Upside","Neil Burger",108200000,43,82,"male","male"
"The Valet","Francis Veber",2300000,71,68,"male","male"
"The Very Thought of You","Nick Hamm",94200,40,60,"male","female"
"The Vow","Michael Sucsy",1.25e+08,32,63,"male","female"
"The Wackness","Jonathan Levine",2100000,71,72,"male","male"
"The Wait","Piero Messina",52400,73,54,"male","female"
"The Walker","Paul Schrader",77200,54,28,"male","male"
"The War Within","Joseph Castelo",73800,71,64,"male","male"
"The Watchers","Ishana Shyamalan",17700000,31,52,"female","female"
"The Water Diviner","Russell Crowe",34600000,63,60,"male","male"
"The Way","Emilio Estevez",44700,83,83,"male","male"
"The Way Back","Peter Weir",2700000,74,72,"male","male"
"The Wedding Ringer","Jeremy Garelick",64500000,29,63,"male","male"
"The Whale","Darren Aronofsky",17200000,64,91,"male","male"
"The White Crow","Ralph Fiennes",1800000,68,80,"male","male"
"The Wife","Björn Runge",9600000,86,76,NA,"male"
"The Wind","Emma Tammi",14100,83,48,"female","female"
"The Wind in the Willows","Terry Jones",72800,75,62,"male","male"
"The Winter Guest","Alan Rickman",849300,63,75,"male","female"
"The Witches","Nicolas Roeg",8700000,94,70,"male","male"
"The Wolf and the Lion","Gilles de Maistre",1900000,29,90,"male","female"
"The Wolf of Wall Street","Martin Scorsese",116900000,80,83,"male","male"
"The Wolverine","James Mangold",132500000,71,69,"male","male"
"The Woman in Black","James Watkins",54300000,66,54,"male","male"
"The Woman Who Left","Lav Diaz",3900,80,80,NA,"female"
"The World","Zhang-Ke Jia",3600,72,65,NA,"female"
"The Wrestler","Darren Aronofsky",26200000,98,88,"male","male"
"The Young Messiah","Cyrus Nowrasteh",6500000,49,66,"male","male"
"The Young Unknowns","Catherine Jelski",58200,14,NA,"female","male"
"The Zookeeper's Wife","Niki Caro",17400000,64,76,"female","female"
"The Adventures of Sharkboy and Lavagirl","Robert Rodriguez",39200000,20,33,"male","male"
"The Company Men","John Wells",4400000,68,55,"male","male"
"The Eagle","Kevin Macdonald",19500000,39,41,"male","male"
"The Foot Fist Way","Jody Hill",233600,54,46,"female","male"
"The Gods Must Be Crazy","Jamie Uys",3e+07,85,84,"female","male"
"The Romantics","Galt Niederhoffer",103300,14,21,NA,"female"
"The Rum Diary","Bruce Robinson",13100000,51,36,"male","male"
"The Safety of Objects","Rose Troche",319100,50,66,"female","female"
"The Sicilian Girl","Marco Amenta",69300,52,61,"male","female"
"The Social Network","David Fincher",96900000,96,87,"male","male"
"The Tic Code","Gary Winick",203800,75,84,"male","male"
"Thelma & Louise","Ridley Scott",43300000,86,82,"male","female"
"Then She Found Me","Helen Hunt",3700000,51,43,"female","female"
"The Theory of Flight","Paul Greengrass",72000,50,57,"male","male"
"There Will Be Blood","Paul Thomas Anderson",40200000,91,86,"male","male"
"Thérèse","Claude Miller",101900,52,38,"male","female"
"The Thing About My Folks","Raymond De Felitta",814700,45,51,"male","male"
"Things to Come","Mia Hansen-Løve",282400,99,71,"female","female"
"Things to Do in Denver When You're Dead","Gary Fleder",232200,37,72,"male","male"
"Things We Lost in the Fire","Susanne Bier",3200000,65,73,"female","female"
"Think Like a Man Too","Tim Story",65100000,23,59,"male","male"
"Think Like a Man","Tim Story",91500000,54,79,"male","male"
"The Third Miracle","Agnieszka Holland",736600,68,58,"female","male"
"Thirteen Conversations About One Thing","Jill Sprecher",3300000,83,71,"female","male"
"Thirteen","Catherine Hardwicke",4600000,81,77,"female","female"
"This Is 40","Judd Apatow",67500000,51,50,"male","male"
"This Is My Father","Paul Quinn",1100000,75,81,"male","female"
"This Means War","McG",54800000,26,56,NA,"female"
"This Must Be the Place","Paolo Sorrentino",142200,66,58,"male","male"
"This World, Then the Fireworks","Michael Oblowitz",19900,38,42,"male","male"
"Thomas and the Magic Railroad","Britt Allcroft",15900000,21,42,"male","male"
"The Thomas Crown Affair","John McTiernan",69300000,69,77,"male","male"
